Population Size,Mutation Rate,Crossover Rate,Satisfied Clauses
50,0.1,0.6,135828
50,0.1,0.6,135823
50,0.1,0.6,135975
50,0.1,0.6,135860
50,0.1,0.6,135794
50,0.1,0.6,135867
50,0.1,0.6,135801
50,0.1,0.6,135869
50,0.1,0.6,135653
50,0.1,0.6,135970
50,0.1,0.6,135779
50,0.1,0.6,135882
50,0.1,0.6,135905
50,0.1,0.6,135771
50,0.1,0.6,135952
50,0.1,0.6,135863
50,0.1,0.6,135812
50,0.1,0.6,135921
50,0.1,0.6,135939
50,0.1,0.6,136135
50,0.1,0.6,135780
50,0.1,0.6,135855
50,0.1,0.6,135766
50,0.1,0.6,135971
50,0.1,0.6,136153
50,0.1,0.6,135917
50,0.1,0.6,135811
50,0.1,0.6,135907
50,0.1,0.6,135859
50,0.1,0.6,135826
50,0.1,0.6,135829
50,0.1,0.6,135777
50,0.1,0.6,135725
50,0.1,0.6,135983
50,0.1,0.6,135912
50,0.1,0.6,135920
50,0.1,0.6,135713
50,0.1,0.6,135789
50,0.1,0.6,135674
50,0.1,0.6,135750
50,0.1,0.6,135898
50,0.1,0.6,135903
50,0.1,0.6,135819
50,0.1,0.6,136006
50,0.1,0.6,135875
50,0.1,0.6,135977
50,0.1,0.6,135824
50,0.1,0.6,135918
50,0.1,0.6,135826
50,0.1,0.6,135882
50,0.1,0.6,135903
50,0.1,0.6,135860
50,0.1,0.6,136050
50,0.1,0.6,135884
50,0.1,0.6,135916
50,0.1,0.6,135864
50,0.1,0.6,135897
50,0.1,0.6,136018
50,0.1,0.6,135937
50,0.1,0.6,136049
50,0.1,0.6,135832
50,0.1,0.6,135942
50,0.1,0.6,135917
50,0.1,0.6,135881
50,0.1,0.6,135967
50,0.1,0.6,135824
50,0.1,0.6,135947
50,0.1,0.6,135888
50,0.1,0.6,135946
50,0.1,0.6,135984
50,0.1,0.6,135993
50,0.1,0.6,135900
50,0.1,0.6,136027
50,0.1,0.6,135980
50,0.1,0.6,135821
50,0.1,0.6,135789
50,0.1,0.6,135939
50,0.1,0.6,135916
50,0.1,0.6,135870
50,0.1,0.6,135909
50,0.1,0.6,135839
50,0.1,0.6,136035
50,0.1,0.6,136130
50,0.1,0.6,135932
50,0.1,0.6,135985
50,0.1,0.85,136088
50,0.1,0.85,136081
50,0.1,0.85,136119
50,0.1,0.85,135837
50,0.1,0.85,135880
50,0.1,0.85,135884
50,0.1,0.85,135986
50,0.1,0.85,136087
50,0.1,0.85,135880
50,0.1,0.85,135797
50,0.1,0.85,135987
50,0.1,0.85,135869
50,0.1,0.85,135883
50,0.1,0.85,135921
50,0.1,0.85,135900
50,0.1,0.85,135784
50,0.1,0.85,135814
50,0.1,0.85,136114
50,0.1,0.85,135909
50,0.1,0.85,135954
50,0.1,0.85,136012
50,0.1,0.85,135969
50,0.1,0.85,135837
50,0.1,0.85,136138
50,0.1,0.85,135811
50,0.1,0.85,135821
50,0.1,0.85,135904
50,0.1,0.85,135900
50,0.1,0.85,135786
50,0.1,0.85,135678
50,0.1,0.85,135868
50,0.1,0.85,135741
50,0.1,0.85,135908
50,0.1,0.85,136032
50,0.1,0.85,135900
50,0.1,0.85,135904
50,0.1,0.85,135872
50,0.1,0.85,136011
50,0.1,0.85,135779
50,0.1,0.85,135930
50,0.1,0.85,136109
50,0.1,0.85,136120
50,0.1,0.85,135767
50,0.1,0.85,135818
50,0.1,0.85,136053
50,0.1,0.85,135962
50,0.1,0.85,136093
50,0.1,0.85,135799
50,0.1,0.85,135864
50,0.1,0.85,135867
50,0.1,0.85,135852
50,0.1,0.85,136114
50,0.1,0.85,136066
50,0.1,0.85,135957
50,0.1,0.85,136037
50,0.1,0.85,136038
